App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Review_group
Home Remedies for Bacterial Infections,HEALTH_AND_FITNESS,1.0,0,4.4M,50+,Free,0,Everyone,Health & Fitness,"April 19, 2018",1.0,2.2 and up,"[0,23)"
Angry Birds Classic,GAME,1.0,5566669,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,"[26432,max)"
Draw.ly - Color by Number Pixel Art Coloring,FAMILY,1.0,18616,10M,"1,000,000+",Free,0,Everyone,Casual;Education,"August 5, 2018",1.0.9,4.0.3 and up,"[889,26432)"
Candy simply-Fi,LIFESTYLE,0.0,2390,35M,"100,000+",Free,0,Everyone,Lifestyle,"July 17, 2018",1.8.4.7,4.4 and up,"[889,26432)"
"Job CV Maker-Portfolio Maker , Resume Maker",FAMILY,0.0,139,4.8M,"50,000+",Free,0,Everyone,Education,"July 16, 2018",2.1,4.0.3 and up,"[23,889)"
BG LINKED (BGLINKED),SOCIAL,1.0,22,11M,"1,000+",Free,0,Everyone,Social,"January 19, 2018",v2.0.02_prod,4.1 and up,"[0,23)"
Dinosaur Simulator: Dino World,GAME,0.0,26649,66M,"5,000,000+",Free,0,Teen,Action,"August 5, 2018",1.2,4.2 and up,"[26432,max)"
Bsc Agri Notes,FAMILY,1.0,301,5.6M,"10,000+",Free,0,Everyone,Education,"July 1, 2018",1.0,4.1 and up,"[23,889)"
CI Dictionary,FAMILY,1.0,31,3.2M,"1,000+",Free,0,Everyone,Education,"September 1, 2015",1.0,4.0.3 and up,"[23,889)"
All Type Ac Repair & Services,LIFESTYLE,1.0,45,2.2M,"10,000+",Free,0,Everyone,Lifestyle,"December 26, 2017",0.8,4.1 and up,"[23,889)"
Portable Wi-Fi hotspot Free,COMMUNICATION,0.0,1711,2.1M,"100,000+",Free,0,Everyone,Communication,"January 11, 2018",1.2.5.4-11,2.3 and up,"[889,26432)"
Al-Quran Ahmad Saud Offline,FAMILY,1.0,7116,40M,"100,000+",Free,0,Everyone,Education,"August 9, 2016",1.0,2.3.3 and up,"[889,26432)"
auto Call Recorder 2018,LIBRARIES_AND_DEMO,1.0,929,7.0M,"50,000+",Free,0,Everyone,Libraries & Demo,"February 16, 2018",1.02.2018.11,4.0 and up,"[889,26432)"
Asylum Night Shift - Five Nights Survival,GAME,0.0,59223,46M,"5,000,000+",Free,0,Teen,Action,"June 26, 2018",1.6.5,4.1 and up,"[26432,max)"
Smoke Effect Name Art Maker-Avatar Text Art Editor,PERSONALIZATION,1.0,1961,6.6M,"100,000+",Free,0,Everyone,Personalization,"June 29, 2018",1.0,4.1 and up,"[889,26432)"
Emo Ads Blocker Browser,TOOLS,0.0,1555,4.1M,"100,000+",Free,0,Everyone,Tools,"September 17, 2015",1.4,3.0 and up,"[889,26432)"
PCOS Guide - Fight PCOS naturally,MEDICAL,1.0,0,5.1M,100+,Free,0,Everyone,Medical,"August 4, 2018",1.0,5.0 and up,"[0,23)"
Play Tube,VIDEO_PLAYERS,1.0,15874,5.4M,"1,000,000+",Free,0,Everyone,Video Players & Editors,"July 5, 2018",1.2,4.1 and up,"[889,26432)"
"CheapTickets – Hotels, Flights & Travel Deals",TRAVEL_AND_LOCAL,1.0,6925,Varies with device,"1,000,000+",Free,0,Everyone,Travel & Local,"July 25, 2018",Varies with device,Varies with device,"[889,26432)"
Evolution: Battle for Utopia,FAMILY,1.0,246705,27M,"1,000,000+",Free,0,Teen,Strategy,"May 4, 2018",3.5.2,4.0.3 and up,"[26432,max)"
"YouCut - Video Editor & Video Maker, No Watermark",VIDEO_PLAYERS,1.0,98819,27M,"5,000,000+",Free,0,Everyone,Video Players & Editors,"August 6, 2018",1.251.54,4.3 and up,"[26432,max)"
Funny Alarm Clock Ringtones,PERSONALIZATION,1.0,15633,14M,"1,000,000+",Free,0,Everyone,Personalization,"March 9, 2017",1.1,4.0.3 and up,"[889,26432)"
EF Staff,PRODUCTIVITY,1.0,0,11M,100+,Free,0,Everyone,Productivity,"May 8, 2018",1.2,4.2 and up,"[0,23)"
Be My Princess,FAMILY,1.0,3103,8.8M,"100,000+",Free,0,Teen,Entertainment,"September 19, 2017",6.5,2.2 and up,"[889,26432)"
SVT Play,VIDEO_PLAYERS,0.0,11549,Varies with device,"1,000,000+",Free,0,Teen,Video Players & Editors,"July 13, 2018",Varies with device,Varies with device,"[889,26432)"
Google Trips - Travel Planner,TRAVEL_AND_LOCAL,1.0,26871,Varies with device,"5,000,000+",Free,0,Everyone,Travel & Local,"July 26, 2018",1.10.0.205086730,4.1 and up,"[26432,max)"
CR Calculator,TOOLS,1.0,297,2.8M,"50,000+",Free,0,Everyone,Tools,"January 27, 2018",2.2,4.0 and up,"[23,889)"
100+ C Programs,FAMILY,1.0,20,1.6M,"5,000+",Free,0,Everyone,Education,"January 3, 2017",1.0,4.0 and up,"[0,23)"
Business Calendar Pro,PRODUCTIVITY,1.0,27135,Varies with device,"100,000+",Paid,$4.99,Everyone,Productivity,"May 24, 2018",Varies with device,Varies with device,"[26432,max)"
Pocket Mortys,FAMILY,1.0,174215,93M,"10,000,000+",Free,0,Everyone,Simulation,"August 3, 2018",2.5.2,4.1 and up,"[26432,max)"
I AM C.T.,HEALTH_AND_FITNESS,1.0,28,20M,"1,000+",Free,0,Mature 17+,Health & Fitness,"April 27, 2017",1.0,4.0.3 and up,"[23,889)"
Alarm Clock Free,TOOLS,0.0,59973,11M,"10,000,000+",Free,0,Everyone,Tools,"March 16, 2018",1.2.5,4.0 and up,"[26432,max)"
ASUS Cover for ZenFone 2,PERSONALIZATION,1.0,43960,9.8M,"10,000,000+",Free,0,Everyone,Personalization,"December 1, 2017",2.0.0.39_171124,5.0 and up,"[26432,max)"
Hovercraft Racer,SPORTS,0.0,218,28M,"100,000+",Free,0,Everyone,Sports,"July 19, 2018",5.0,4.1 and up,"[23,889)"
Seznam.cz,COMMUNICATION,1.0,46702,Varies with device,"1,000,000+",Free,0,Everyone,Communication,"July 4, 2018",Varies with device,Varies with device,"[26432,max)"
Word Crossy - A crossword game,GAME,1.0,240416,53M,"5,000,000+",Free,0,Everyone,Word,"August 1, 2018",2.2.3,4.0.3 and up,"[26432,max)"
Tricky Bike Stunt Rider DX,FAMILY,1.0,16,45M,500+,Free,0,Everyone,Simulation;Education,"July 29, 2018",1.1.1,4.0 and up,"[0,23)"
Super Car F. Mod for MCPE,GAME,0.0,214,4.9M,"50,000+",Free,0,Everyone,Adventure,"July 19, 2018",3.0.1,4.2 and up,"[23,889)"
Bricks n Balls,GAME,1.0,30253,Varies with device,"1,000,000+",Free,0,Everyone,Casual,"August 5, 2018",1.0.1.049,4.1 and up,"[26432,max)"
realcommercial.com.au,BUSINESS,1.0,128,6.7M,"50,000+",Free,0,Everyone,Business,"June 26, 2018",2.6.1,5.0 and up,"[23,889)"
Yandex.Shell (Launcher+Dialer),PERSONALIZATION,1.0,87300,Varies with device,"1,000,000+",Free,0,Everyone,Personalization,"March 17, 2015",2.32,Varies with device,"[26432,max)"
哈哈姆特不EY,COMMUNICATION,1.0,239,18M,"10,000+",Free,0,Everyone,Communication,"July 31, 2018",1.3.4,4.4 and up,"[23,889)"
R Quick Reference Big Data,BOOKS_AND_REFERENCE,1.0,6,3.6M,"1,000+",Free,0,Everyone,Books & Reference,"May 29, 2017",1.2,2.3 and up,"[0,23)"
CT Scan Cross Sectional Anatomy,MEDICAL,1.0,10,46M,100+,Free,0,Everyone,Medical,"July 19, 2018",5.0.16,4.1 and up,"[0,23)"
EH National Mobile Banking,FINANCE,1.0,0,Varies with device,50+,Free,0,Everyone,Finance,"October 12, 2017",5.2.12,4.2 and up,"[0,23)"
Happy Street,FAMILY,1.0,110877,Varies with device,"1,000,000+",Free,0,Everyone 10+,Casual;Action & Adventure,"March 28, 2018",Varies with device,Varies with device,"[26432,max)"
Super Hero M Craft Run,GAME,0.0,303,38M,"100,000+",Free,0,Everyone,Arcade,"July 12, 2017",1.6,4.0.3 and up,"[23,889)"
Santa Fe Map and Walks,TRAVEL_AND_LOCAL,1.0,2,47M,"1,000+",Free,0,Everyone,Travel & Local,"April 20, 2018",32,4.0 and up,"[0,23)"
Profile Tracker - Who Viewed My Facebook Profile,SOCIAL,1.0,37090,4.8M,"500,000+",Free,0,Teen,Social,"August 1, 2018",5.4,4.1 and up,"[26432,max)"
Qeek for Instagram - Zoom profile insta DP,SOCIAL,1.0,12111,9.1M,"500,000+",Free,0,Everyone,Social,"May 3, 2018",1.47,4.3 and up,"[889,26432)"
GATE 21 years CS Papers(2011-2018 Solved),BOOKS_AND_REFERENCE,1.0,1,34M,50+,Free,0,Everyone,Books & Reference,"July 24, 2018",3.0,4.1 and up,"[0,23)"
Rivals at War: 2084,FAMILY,0.0,174127,48M,"5,000,000+",Free,0,Teen,Simulation,"October 3, 2016",1.3,3.0 and up,"[26432,max)"
Step By Step Eyes Makeup Tutorial,BEAUTY,1.0,74,2.9M,"10,000+",Free,0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,"[23,889)"
AX Battery Saver,FINANCE,1.0,4546,3.0M,"100,000+",Free,0,Everyone,Finance,"February 8, 2018",1.2.3,4.0 and up,"[889,26432)"
Tv Br News,FAMILY,1.0,4,569k,100+,Free,0,Everyone,Entertainment,"January 10, 2018",1.4,2.3 and up,"[0,23)"
"Groupon - Shop Deals, Discounts & Coupons",SHOPPING,1.0,1370749,Varies with device,"50,000,000+",Free,0,Teen,Shopping,"August 3, 2018",Varies with device,Varies with device,"[26432,max)"
UM BP Track,MEDICAL,0.0,1,29M,50+,Free,0,Everyone,Medical,"June 27, 2017",7.9.0 (5192),5.0 and up,"[0,23)"
BC Hockey,SPORTS,0.0,20,8.9M,"1,000+",Free,0,Everyone,Sports,"December 8, 2017",3.1,4.4 and up,"[0,23)"
HTC Transfer Tool,TOOLS,1.0,40907,2.6M,"5,000,000+",Free,0,Everyone,Tools,"July 27, 2017",6.0.932740,2.2 and up,"[26432,max)"
Opera Mini - fast web browser,COMMUNICATION,1.0,5149854,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 19, 2018",Varies with device,Varies with device,"[26432,max)"
LiveScore: Live Sport Updates,SPORTS,1.0,283662,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"June 15, 2018",Varies with device,4.1 and up,"[26432,max)"
Counter Terrorist Attack,GAME,0.0,145931,43M,"10,000,000+",Free,0,Teen,Action,"May 31, 2018",5.3.2,2.3 and up,"[26432,max)"
EY Tax Briefing,BUSINESS,1.0,3,15M,100+,Free,0,Everyone,Business,"March 21, 2018",1.0,4.1 and up,"[0,23)"
Allsetra B.V.,BUSINESS,1.0,15,24M,"1,000+",Free,0,Everyone,Business,"April 5, 2018",3.1.2,4.3 and up,"[0,23)"
Forgotten Hill: Fall,GAME,1.0,1063,18M,"50,000+",Free,0,Teen,Adventure,"October 30, 2017",1.7,3.0 and up,"[889,26432)"
Hill Climb Racing,GAME,1.0,8923587,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,"[26432,max)"
"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",HEALTH_AND_FITNESS,1.0,117176,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 7, 2018",Varies with device,Varies with device,"[26432,max)"
Animal Hunting: Sniper Shooting,GAME,1.0,0,48M,50+,Free,0,Teen,Action,"July 6, 2018",1.0,4.0 and up,"[0,23)"
AH Kollection for KLWP,PERSONALIZATION,1.0,644,59M,"50,000+",Free,0,Everyone,Personalization,"April 30, 2017",Version 1.20,4.4 and up,"[23,889)"
A Better Camera,PHOTOGRAPHY,1.0,76484,Varies with device,"5,000,000+",Free,0,Everyone,Photography,"June 8, 2018",3.52,4.0 and up,"[26432,max)"
Filters for B Live,BEAUTY,1.0,2280,24M,"500,000+",Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,"[889,26432)"
Explore Sedona & Northern AZ,TRAVEL_AND_LOCAL,0.0,43,22M,"10,000+",Free,0,Everyone,Travel & Local,"March 7, 2017",16.51.1,2.3 and up,"[23,889)"
PPS Online,PARENTING,1.0,37,16M,"10,000+",Free,0,Everyone,Parenting,"July 9, 2018",3.19,4.0.3 and up,"[23,889)"
N Launcher Pro - Nougat 7.0,PERSONALIZATION,1.0,2538,6.4M,"100,000+",Paid,$2.99,Everyone,Personalization,"March 23, 2018",1.5.1,4.1 and up,"[889,26432)"
Basketball FRVR - Shoot the Hoop and Slam Dunk!,FAMILY,1.0,4076,Varies with device,"100,000+",Free,0,Everyone,Sports;Action & Adventure,"August 1, 2018",1.3.3,4.1 and up,"[889,26432)"
Blood Pressure Log - MyDiary,MEDICAL,1.0,8348,2.6M,"500,000+",Free,0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up,"[889,26432)"
لعبة تقدر تربح DZ,FAMILY,1.0,238,6.8M,"10,000+",Free,0,Everyone,Education,"November 18, 2016",6.0.0.0,4.1 and up,"[23,889)"
HD Video Player,VIDEO_PLAYERS,1.0,1551,2.9M,"1,000,000+",Free,0,Everyone,Video Players & Editors,"July 25, 2018",1.1,4.1 and up,"[889,26432)"
"Phone X Launcher, OS 11 iLauncher & Control Center",TOOLS,1.0,54063,16M,"5,000,000+",Free,0,Everyone,Tools,"June 1, 2018",2.7.2,4.1 and up,"[26432,max)"
Apartments.com Rental Search,HOUSE_AND_HOME,1.0,22584,16M,"1,000,000+",Free,0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,"[889,26432)"
Auto DM for Twitter 🔥,SOCIAL,0.0,44,6.3M,"1,000+",Free,0,Teen,Social,"May 21, 2018",HTTPs,4.1 and up,"[23,889)"
CH info,NEWS_AND_MAGAZINES,0.0,45,15M,"5,000+",Free,0,Everyone,News & Magazines,"February 20, 2018",6.0.0.12,4.4 and up,"[23,889)"
FK Utenis Utena,SPORTS,1.0,0,26M,5+,Free,0,Everyone,Sports,"February 21, 2018",1.0,4.1 and up,"[0,23)"
Home Pony 2,FAMILY,0.0,20977,26M,"1,000,000+",Free,0,Everyone,Simulation,"June 18, 2018",1.4.5,4.0 and up,"[889,26432)"
Ticketmaster Event Tickets,EVENTS,0.0,40113,36M,"5,000,000+",Free,0,Everyone,Events,"July 23, 2018",Varies with device,Varies with device,"[26432,max)"
EU Life Explorer,NEWS_AND_MAGAZINES,0.0,2,12M,50+,Free,0,Everyone,News & Magazines,"May 8, 2017",1.1,4.1 and up,"[0,23)"
The Messenger App,SOCIAL,1.0,4919,2.8M,"1,000,000+",Free,0,Everyone,Social,"August 3, 2018",0.1.1,4.1 and up,"[889,26432)"
City Taxi Driver sim 2016: Cab simulator Game-s,FAMILY,1.0,16111,57M,"1,000,000+",Free,0,Everyone,Simulation,"June 12, 2018",1.11,4.1 and up,"[889,26432)"
Ag Weather Tools,WEATHER,1.0,0,4.6M,500+,Free,0,Everyone,Weather,"January 9, 2018",1.0.1,5.0 and up,"[0,23)"
DP Editor,PHOTOGRAPHY,1.0,18,15M,"5,000+",Free,0,Teen,Photography,"August 4, 2018",1.5,4.1 and up,"[0,23)"
F-Stop Gallery Pro,PHOTOGRAPHY,1.0,1302,58k,"10,000+",Paid,$4.99,Everyone,Photography,"August 5, 2015",3.2,2.2 and up,"[889,26432)"
Super Flashlight + LED,TOOLS,1.0,54207,4.4M,"5,000,000+",Free,0,Everyone,Tools,"July 11, 2017",3.2,3.0 and up,"[26432,max)"
I am Rich Person,LIFESTYLE,1.0,134,1.8M,"1,000+",Paid,$37.99,Everyone,Lifestyle,"July 18, 2017",1.0,4.0.3 and up,"[23,889)"
The Walking Dead: Road to Survival,GAME,1.0,522466,37M,"10,000,000+",Free,0,Mature 17+,Role Playing,"June 19, 2018",12.0.4.62276,4.0.3 and up,"[26432,max)"
Beck & Bo: Toddler First Words,FAMILY,1.0,41,7.9M,"1,000+",Paid,$2.99,Everyone,Education;Pretend Play,"May 31, 2018",2.4.2,4.0.3 and up,"[23,889)"
Bike Racing 3D,GAME,1.0,951435,14M,"50,000,000+",Free,0,Everyone,Racing,"January 17, 2018",2.2,2.1 and up,"[26432,max)"
Bird Sounds & Bird Ringtones for Free 2018,LIBRARIES_AND_DEMO,1.0,130,12M,"10,000+",Free,0,Everyone,Libraries & Demo,"February 23, 2018",1.0,4.0.3 and up,"[23,889)"
bp e-store,BOOKS_AND_REFERENCE,1.0,52,2.2M,"1,000+",Free,0,Everyone,Books & Reference,"January 15, 2016",2.0.7,4.0 and up,"[23,889)"
Basket Manager 2018 Pro,SPORTS,0.0,84,6.3M,"1,000+",Paid,$2.99,Everyone,Sports,"April 17, 2018",3.7,4.4 and up,"[23,889)"
Video Downloader For FB: Save FB Videos 2018,TOOLS,1.0,434,3.6M,"50,000+",Free,0,Everyone,Tools,"August 8, 2018",1.1.9,4.0.3 and up,"[23,889)"
MPS CL,TOOLS,1.0,1,3.2M,10+,Free,0,Everyone,Tools,"May 24, 2018",1.0.3,4.0.3 and up,"[0,23)"
G-Pix [Android P] Dark EMUI 8/5 THEME,PERSONALIZATION,1.0,169,24M,"10,000+",Free,0,Everyone,Personalization,"March 25, 2018",7,4.4 and up,"[23,889)"
Tuner - gStrings Free,TOOLS,1.0,214265,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"June 4, 2018",Varies with device,Varies with device,"[26432,max)"
Manga Books,COMICS,0.0,7326,Varies with device,"500,000+",Free,0,Adults only 18+,Comics,"August 3, 2018",Varies with device,Varies with device,"[889,26432)"
Weather Live,WEATHER,1.0,76593,Varies with device,"500,000+",Paid,$5.99,Everyone,Weather,"November 21, 2017",Varies with device,Varies with device,"[26432,max)"
BA VPN - Free Unlimited VPN,FAMILY,1.0,181,9.2M,"10,000+",Free,0,Everyone,Entertainment,"June 14, 2018",1.2.1,5.0 and up,"[23,889)"
Best DP and Status (Daily Updates Photos),FAMILY,1.0,3003,3.2M,"1,000,000+",Free,0,Everyone,Entertainment,"May 7, 2018",1.8,4.0 and up,"[889,26432)"
Talabat: Food Delivery,FOOD_AND_DRINK,1.0,116403,Varies with device,"5,000,000+",Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device,"[26432,max)"
Office Bike Racing Simulator,FAMILY,0.0,21149,30M,"1,000,000+",Free,0,Everyone,Simulation,"October 9, 2015",2.1,2.3 and up,"[889,26432)"
Cerulean Heart,FAMILY,1.0,2683,25M,"10,000+",Free,0,Mature 17+,Simulation,"June 15, 2018",1.3.1,4.0 and up,"[889,26432)"
Fantasy Football,SPORTS,0.0,50179,23M,"1,000,000+",Free,0,Everyone,Sports,"August 2, 2018",2.5.7.1,5.0 and up,"[26432,max)"
Educationboard Results BD,FAMILY,0.0,983,7.2M,"100,000+",Free,0,Everyone,Education,"June 12, 2018",1.0,4.0 and up,"[889,26432)"
Cookbook Recipes,FOOD_AND_DRINK,1.0,46539,Varies with device,"5,000,000+",Free,0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device,"[26432,max)"
N Launcher: Nougat Theme,PERSONALIZATION,1.0,128,7.7M,"10,000+",Free,0,Everyone,Personalization,"June 13, 2017",1.0,4.1 and up,"[23,889)"
Emergency Brain CT,MEDICAL,1.0,2,19M,10+,Paid,$0.99,Everyone,Medical,"April 17, 2018",1.0.0,4.1 and up,"[0,23)"
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,1.0,121,3.1M,"10,000+",Free,0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,"[23,889)"
BN Inscript Improved Input keyboard,PRODUCTIVITY,1.0,0,6.2M,10+,Free,0,Everyone,Productivity,"December 7, 2017",1.0,2.3 and up,"[0,23)"
Websites.co.in Instant Website,BUSINESS,1.0,327,13M,"10,000+",Free,0,Everyone,Business,"June 25, 2018",1.48,4.1 and up,"[23,889)"
Punch em,GAME,1.0,2208,4.4M,"500,000+",Free,0,Everyone,Arcade,"May 24, 2018",2.0.8,4.1 and up,"[889,26432)"
Papumba Academy - Fun Learning For Kids,FAMILY,1.0,496,94M,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1.0,4.2 and up,"[23,889)"
Advanced Download Manager,TOOLS,1.0,569727,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"November 3, 2017",Varies with device,Varies with device,"[26432,max)"
Mircules DX Cluster Lite,COMMUNICATION,1.0,51,21M,"5,000+",Free,0,Everyone,Communication,"May 10, 2016",3.0,4.1 and up,"[23,889)"
Skype - free IM & video calls,COMMUNICATION,1.0,10484169,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,"[26432,max)"
AXE.IO - Brutal Survival Battleground,GAME,1.0,3845,76M,"500,000+",Free,0,Everyone 10+,Arcade,"August 3, 2018",1.6.1,4.1 and up,"[889,26432)"
Synology Drive,PRODUCTIVITY,0.0,368,Varies with device,"100,000+",Free,0,Everyone,Productivity,"August 2, 2018",Varies with device,5.0 and up,"[23,889)"
Next Island: Dino Village,FAMILY,0.0,29,37M,"1,000+",Free,0,Everyone 10+,Casual,"May 4, 2018",1.0,5.0 and up,"[23,889)"
Drink-O-Tron The Drinking Game,GAME,1.0,140,45M,"50,000+",Free,0,Mature 17+,Card,"May 31, 2017",1.64,4.0.3 and up,"[23,889)"
Oración CX,LIFESTYLE,1.0,103,3.8M,"5,000+",Free,0,Everyone,Lifestyle,"September 12, 2017",5.1.10,4.1 and up,"[23,889)"
JW Library,BOOKS_AND_REFERENCE,1.0,922752,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"June 15, 2018",Varies with device,Varies with device,"[26432,max)"
Z Day: Hearts of Heroes,FAMILY,0.0,5894,67M,"1,000,000+",Free,0,Everyone 10+,Strategy,"July 11, 2018",1.0.2,4.0.3 and up,"[889,26432)"
U Guard,TOOLS,0.0,245,3.5M,"10,000+",Free,0,Everyone,Tools,"August 31, 2016",1.1.6.6,2.3 and up,"[23,889)"
V BTS Wallpaper,PERSONALIZATION,1.0,127,9.5M,"5,000+",Free,0,Everyone,Personalization,"May 4, 2018",8.0,3.0 and up,"[23,889)"
Talking Husky Dog,FAMILY,1.0,26545,40M,"1,000,000+",Free,0,Everyone,Casual,"July 20, 2018",2.08,4.1 and up,"[26432,max)"
Power Spheres by BoBoiBoy,FAMILY,1.0,70903,51M,"5,000,000+",Free,0,Everyone,Puzzle;Brain Games,"May 3, 2018",1.3.20,4.0.3 and up,"[26432,max)"
Lionel Messi Wallpapers,SPORTS,1.0,950,18M,"100,000+",Free,0,Everyone,Sports,"July 17, 2018",2.6,4.1 and up,"[889,26432)"
Bodyworks DW,HEALTH_AND_FITNESS,1.0,0,10M,10+,Free,0,Everyone,Health & Fitness,"July 9, 2018",4.2.2,4.1 and up,"[0,23)"
Flash Light on Call & SMS,TOOLS,1.0,25438,3.2M,"1,000,000+",Free,0,Everyone,Tools,"April 24, 2018",1.2.3,4.0.3 and up,"[889,26432)"
FR Forms,BUSINESS,1.0,0,9.6M,10+,Free,0,Everyone,Business,"September 29, 2016",1.1.5,4.0 and up,"[0,23)"
AZ PLAYER HD,TOOLS,0.0,24,4.7M,"10,000+",Free,0,Everyone,Tools,"April 11, 2016",1.0,2.2 and up,"[23,889)"
30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,1.0,471036,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,4.0 and up,"[26432,max)"
Barcelona News - Sportfusion,SPORTS,1.0,382,20M,"10,000+",Free,0,Everyone,Sports,"March 6, 2018",3.953,4.1 and up,"[23,889)"
DK Primrose for KLWP,PERSONALIZATION,1.0,0,16M,1+,Paid,$0.99,Everyone,Personalization,"December 2, 2017",v2017.Dec.01.19,4.4 and up,"[0,23)"
LA Times: Your California News,NEWS_AND_MAGAZINES,0.0,3311,10M,"100,000+",Free,0,Everyone,News & Magazines,"April 24, 2018",4.0.1,4.2 and up,"[889,26432)"
Teladoc Member,MEDICAL,0.0,2094,23M,"500,000+",Free,0,Everyone,Medical,"July 26, 2018",3.19,4.3 and up,"[889,26432)"
Jungle Marble Blast,GAME,1.0,18985,23M,"5,000,000+",Free,0,Everyone,Casual,"July 23, 2018",1.5.4,4.0.3 and up,"[889,26432)"
CG - Calendars Add-On,PRODUCTIVITY,0.0,49,2.3M,"5,000+",Free,0,Everyone 10+,Productivity,"July 29, 2015",1.0.1,4.0 and up,"[23,889)"
CP Calculator - Poke Go Calc,FAMILY,1.0,7,22M,500+,Free,0,Everyone,Entertainment,"September 17, 2016",1.1,4.2 and up,"[0,23)"
Poop FR,FAMILY,1.0,6,2.5M,50+,Free,0,Everyone,Entertainment,"May 29, 2018",1.0,4.0.3 and up,"[0,23)"
AJ Men's Grooming,LIFESTYLE,1.0,2,22M,100+,Free,0,Everyone,Lifestyle,"August 28, 2017",5,4.1 and up,"[0,23)"
"Xceed - Clubs, DJs, Festivals & Tickets",EVENTS,1.0,399,24M,"100,000+",Free,0,Everyone,Events,"August 3, 2018",Cannonau 3.11.11,5.0 and up,"[23,889)"
BC MVA Fines,BOOKS_AND_REFERENCE,1.0,5,7.2M,50+,Paid,$1.75,Everyone,Books & Reference,"October 8, 2015",1.0,4.1 and up,"[0,23)"
du app,LIFESTYLE,0.0,7578,25M,"1,000,000+",Free,0,Everyone,Lifestyle,"July 24, 2018",3.98,4.2 and up,"[889,26432)"
Homework Planner,EDUCATION,0.0,2525,1.2M,"100,000+",Free,0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up,"[889,26432)"
Walk with Map My Walk,HEALTH_AND_FITNESS,1.0,144040,55M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 27, 2018",18.7.1,5.0 and up,"[26432,max)"
Cartoon Network Match Land,FAMILY,1.0,21979,38M,"1,000,000+",Free,0,Everyone,Puzzle,"July 9, 2018",1.1.3,5.1 and up,"[889,26432)"
Zara,LIFESTYLE,1.0,95904,33M,"10,000,000+",Free,0,Everyone,Lifestyle,"July 30, 2018",4.1.0,4.1 and up,"[26432,max)"
Cardi B Wallpaper,ART_AND_DESIGN,1.0,253,3.7M,"50,000+",Free,0,Everyone,Art & Design,"November 1, 2017",1.0.0,4.0 and up,"[23,889)"
Rivals at War: Firefight,GAME,1.0,344819,51M,"5,000,000+",Free,0,Teen,Action,"October 18, 2016",1.4,3.0 and up,"[26432,max)"
Undertale AU Amino,SOCIAL,1.0,5369,63M,"50,000+",Free,0,Teen,Social,"July 13, 2018",1.8.19106,4.0.3 and up,"[889,26432)"
Trovami se ci riesci,GAME,1.0,11,6.1M,10+,Free,0,Everyone,Arcade,"March 11, 2017",0.1,2.3 and up,"[0,23)"
FNH Payment Info,COMMUNICATION,1.0,0,2.1M,10+,Free,0,Everyone,Communication,"March 17, 2018",1.3,4.0.3 and up,"[0,23)"
Earth & Moon in HD Gyro 3D Parallax Live Wallpaper,PERSONALIZATION,1.0,66321,18M,"5,000,000+",Free,0,Everyone,Personalization,"June 11, 2018",2.4,4.1 and up,"[26432,max)"
Filters for Selfie,BEAUTY,1.0,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,"[889,26432)"
"DataCamp - Learn R, Python & SQL",FAMILY,1.0,944,12M,"100,000+",Free,0,Everyone,Education,"August 1, 2018",3.1.0,4.1 and up,"[889,26432)"
Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,1.0,787177,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",Varies with device,Varies with device,"[26432,max)"
Binaural Beats Meditation,LIBRARIES_AND_DEMO,1.0,411,95M,"50,000+",Free,0,Everyone,Libraries & Demo,"June 8, 2018",5.0,4.0.3 and up,"[23,889)"
